fecha,casos_confirmados,fallecidos,Primera,Segunda
2021-06-15,4607,117,11675034,9077827
2021-06-16,4347,107,11780631,9195254
2021-06-17,6683,129,11851584,9305309
2021-06-18,6770,109,11913065,9348749
2021-06-19,6263,127,11929642,9368626
2021-06-20,5753,111,11931438,9370773
2021-06-21,5252,108,11938756,9383111
2021-06-22,3464,113,12038391,9588639
2021-06-23,2768,109,12113927,9752373
2021-06-24,3448,134,12162397,9893590
2021-06-25,5628,123,12200591,10016567
2021-06-26,5208,106,12211676,10048311
2021-06-27,4488,111,12212709,10051691
2021-06-28,4075,109,12213955,10054826
2021-06-29,2648,139,12253955,10232418
2021-06-30,2148,116,12302074,10366442
2021-07-01,2677,110,12388966,10448360
2021-07-02,4086,105,12454408,10513273
2021-07-03,3880,106,12469961,10532271
2021-07-04,3368,100,12471967,10534373
2021-07-05,2852,114,12519735,10631285
2021-07-06,1885,94,12563447,10710310
2021-07-07,1892,87,12637268,10793867
2021-07-08,3193,90,12695324,10888622
2021-07-09,2906,75,12745919,10973628
2021-07-10,2696,85,12765924,10995472
2021-07-11,2330,87,12768322,10998014
2021-07-12,2160,108,12817532,11124499
2021-07-13,1278,78,12897754,11225500
2021-07-14,1227,105,12952481,11330986
2021-07-15,2336,85,13024017,11421555
2021-07-16,2031,84,13026145,11424159
2021-07-17,1874,78,13036109,11437621
2021-07-18,1419,78,13037039,11438823
2021-07-19,1015,67,13084687,11511902
2021-07-20,902,60,13124892,11604396
2021-07-21,989,68,13158246,11674504
2021-07-22,1861,77,13194107,11715475
2021-07-23,1656,64,13252290,11772174
2021-07-24,1407,80,13275333,11782325
2021-07-25,1446,54,13277395,11783184
2021-07-26,1185,67,13292883,11823549
2021-07-27,753,58,13302172,11864575
2021-07-28,828,75,13309236,11892160
2021-07-29,1383,81,13317893,11973359
2021-07-30,1355,72,13326267,12041503
2021-07-31,1152,66,13327327,12051639
2021-08-01,1185,71,13327361,12052074
2021-08-02,921,62,13426901,12075770
2021-08-03,616,63,13539721,12101158
2021-08-04,674,59,13544514,12160877
2021-08-05,1223,58,13547780,12203747
2021-08-06,1147,66,13550770,12235295
2021-08-07,940,46,13551011,12236206
2021-08-08,868,47,13551067,12236228
2021-08-09,871,36,13627967,12257452
2021-08-10,514,45,13696002,12276922
2021-08-11,584,36,13698824,12394762
2021-08-12,1128,41,13701155,12474080
2021-08-13,882,36,13703249,12523170
2021-08-14,877,43,13703530,12524176
2021-08-15,904,30,13703754,12524376
2021-08-16,754,41,13742314,12546344
2021-08-17,405,41,13776594,12570082
2021-08-18,503,34,13778518,12647091
2021-08-19,899,43,13780087,12706311
2021-08-20,763,30,13781398,12760877
2021-08-21,698,45,13781576,12762693
2021-08-22,679,31,13781652,12762889
2021-08-23,591,24,13806682,12787695
2021-08-24,387,28,13828837,12805631
2021-08-25,392,32,13843191,12819115
2021-08-26,801,27,13844769,12898773
2021-08-27,672,33,13846180,12951240
2021-08-28,607,26,13846403,12952377
2021-08-29,603,22,13846480,12952542
2021-08-30,512,46,13864419,13029705
2021-08-31,315,26,13882060,13119975
2021-09-01,375,17,13883465,13153198
2021-09-02,594,20,13884718,13176729
2021-09-03,504,14,13885669,13193512
2021-09-04,477,11,13885852,13193993
2021-09-05,430,30,13885870,13194027
2021-09-06,435,20,13900575,13253203
2021-09-07,273,18,13915782,13314322
2021-09-08,358,24,13916945,13329502
2021-09-09,515,21,13918022,13340497
2021-09-10,518,14,13918929,13349448
2021-09-11,489,13,13919104,13349862
2021-09-12,449,24,13919122,13349893
2021-09-13,426,24,13984258,13388567
2021-09-14,297,16,14036023,13427240
2021-09-15,408,11,14090999,13442507
2021-09-16,604,16,14118022,13450416
2021-09-17,594,16,14118098,13450465
2021-09-18,610,14,14118100,13450469
2021-09-19,491,11,14118100,13450471
2021-09-20,280,12,14183923,13472890
2021-09-21,291,10,14245463,13496405
2021-09-22,526,6,14319227,13513742
2021-09-23,886,6,14370556,13524472
2021-09-24,852,10,14442184,13533681
2021-09-25,783,7,14442963,13533950
2021-09-26,775,7,14443079,13533972
2021-09-27,640,8,14541878,13551295
2021-09-28,454,8,14662735,13570850
2021-09-29,525,12,14785907,13581908
2021-09-30,895,7,14900762,13590395
